,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,all_star
8714,Omer Asik,NOP,29,213.36,115.66596,None,Turkey,2008,2,36,68,4,6.1,0.4,-9.3,0.103,0.28,0.115,0.551,0.032,2015-16,
8715,Steve Blake,DET,36,190.5,78.017824,Maryland,USA,2003,2,38,58,4.4,1.5,3.4,-3.7,0.01,0.092,0.148,0.51,0.311,2015-16,
8716,Orlando Johnson,NOP,27,195.58,99.79024,California-Santa Barbara,USA,2012,2,36,7,3.7,2.1,0.3,-16.1,0.035,0.141,0.169,0.346,0.031,2015-16,
8717,Tobias Harris,DET,23,205.74,106.59412,Tennessee,USA,2011,1,19,76,14.7,6.7,2.2,-0.5,0.042,0.184,0.195,0.56,0.106,2015-16,
8718,Timofey Mozgov,CLE,29,215.9,124.7378,None,Russia,Undrafted,Undrafted,Undrafted,76,6.3,4.4,0.4,0.8,0.097,0.187,0.165,0.593,0.039,2015-16,
8719,Tim Hardaway Jr.,ATL,24,198.12,92.98636,Michigan,USA,2013,1,24,51,6.4,1.7,1,6.1,0.009,0.097,0.164,0.563,0.089,2015-16,
8720,Tim Frazier,NOP,25,185.42,77.11064,None,USA,Undrafted,Undrafted,Undrafted,51,5.1,2.2,3.2,-0.5,0.039,0.126,0.198,0.499,0.339,2015-16,
8721,Tim Duncan,SAS,40,210.82,113.398,Wake Forest,US Virgin Islands,1997,1,1,61,8.6,7.3,2.7,13.7,0.087,0.234,0.174,0.523,0.153,2015-16,
8722,Tibor Pleiss,UTA,26,220.98,116.119552,None,Germany,2010,2,31,12,2,1.3,0.2,-6,0.095,0.134,0.199,0.464,0.043,2015-16,
8723,Tiago Splitter,ATL,31,210.82,111.13004,None,Brazil,2007,1,28,36,5.6,3.3,0.8,9.3,0.09,0.145,0.154,0.571,0.077,2015-16,
8724,Thomas Robinson,BKN,25,208.28,107.501304,Kansas,USA,2012,1,5,71,4.3,5.1,0.6,-13.9,0.152,0.293,0.192,0.453,0.08,2015-16,
8725,Thanasis Antetokounmpo,NYK,23,200.66,92.98636,None,Greece,2014,2,51,2,3,0.5,0,-26.1,0,0.125,0.288,0.75,0,2015-16,
8726,Thaddeus Young,BKN,28,203.2,100.243832,Georgia Tech,USA,2007,1,12,73,15.1,9,1.9,-4.4,0.083,0.227,0.219,0.533,0.094,2015-16,
8727,Thabo Sefolosha,ATL,32,200.66,99.79024,None,Switzerland,2006,1,13,75,6.4,4.5,1.4,3.1,0.034,0.171,0.125,0.579,0.093,2015-16,
8728,Terry Rozier,BOS,22,187.96,86.18248,Louisville,USA,2015,1,16,39,1.8,1.6,0.9,-6.6,0.071,0.134,0.176,0.326,0.199,2015-16,
8729,Toney Douglas,NOP,30,187.96,88.45044,Florida State,USA,2009,1,29,61,8.7,2.3,2.6,-4.8,0.02,0.111,0.192,0.543,0.188,2015-16,
8730,Terrence Ross,TOR,25,200.66,88.45044,Washington,USA,2012,1,8,73,9.9,2.5,0.8,5.7,0.014,0.104,0.183,0.551,0.053,2015-16,
8731,Tayshaun Prince,MIN,36,205.74,96.161504,Kentucky,USA,2002,1,23,77,2.9,1.9,1,-1.9,0.025,0.089,0.083,0.466,0.073,2015-16,
8732,Tarik Black,LAL,24,205.74,113.398,Kansas,USA,Undrafted,Undrafted,Undrafted,39,3.4,4,0.4,0.7,0.1,0.257,0.13,0.537,0.053,2015-16,
8733,Taj Gibson,CHI,31,205.74,102.0582,Southern California,USA,2009,1,26,73,8.6,6.9,1.5,-2.6,0.116,0.155,0.148,0.556,0.083,2015-16,
